name,target_rva,target_size,source,notes
_Rva0080C390,0x0080C390,811,Code/Libraries/Source/DirtySock/Y4CommAlloc.c,reloc-derived;call-sites=1;identity=generated
_Rva0080C6F0,0x0080C6F0,546,Code/Libraries/Source/DirtySock/Y5SmallHelpers.c,reloc-derived;call-sites=1;identity=generated
_Rva0080F5A0,0x0080F5A0,1359,Code/Libraries/Source/DirtySock/Y5SmallHelpers.c,reloc-derived;call-sites=1;identity=generated
_Rva0080FD30,0x0080FD30,146,Code/Libraries/Source/DirtySock/Y4MultiPrecision.c,reloc-derived;call-sites=2;identity=generated
_Rva0080FDD0,0x0080FDD0,149,Code/Libraries/Source/DirtySock/Y4MultiPrecision.c,reloc-derived;call-sites=2;identity=generated
_Rva008119A0,0x008119A0,827,Code/Libraries/Source/DirtySock/Y5SmallHelpers.c,reloc-derived;call-sites=1;identity=generated
_Rva00812CD0,0x00812CD0,253,Code/Libraries/Source/DirtySock/Y5SmallHelpers.c,reloc-derived;call-sites=3;identity=generated
_Rva00813100@24,0x00813100,1426,Code/Libraries/Source/DirtySock/Y4CommTickIdle.c,reloc-derived;call-sites=2;identity=generated
_Rva00813A50,0x00813A50,595,Code/Libraries/Source/DirtySock/Y4CommTickIdle.c,reloc-derived;call-sites=1;identity=generated
_Rva00814770,0x00814770,1466,Code/Libraries/Source/DirtySock/Y4CommTickIdle.c,reloc-derived;call-sites=1;identity=generated
_Rva00817640,0x00817640,1225,Code/Libraries/Source/DirtySock/Y4CommTransportLife.c,reloc-derived;call-sites=2;identity=generated
_Rva0081A3B0,0x0081A3B0,524,Code/Libraries/Source/DirtySock/Y4CommSequencedRing.c,reloc-derived;call-sites=2;identity=generated
_Rva0081ACD0,0x0081ACD0,316,Code/Libraries/Source/DirtySock/Y4CommTickIdle.c,reloc-derived;call-sites=1;identity=generated
_Rva0081B010,0x0081B010,1692,Code/Libraries/Source/DirtySock/Y4CommSequencedRing.c,reloc-derived;call-sites=2;identity=generated
_Rva0081B830,0x0081B830,224,Code/GameEngine/Source/Common/Rva00813E30Wrap.cpp,reloc-derived;call-sites=2;identity=generated
_Rva0081B9B0,0x0081B9B0,24,Code/Libraries/Source/DirtySock/Y4CommTickIdle.c,reloc-derived;call-sites=1;identity=generated
_Rva0081B9D0,0x0081B9D0,103,Code/Libraries/Source/DirtySock/Y4CommTickIdle.c,reloc-derived;call-sites=1;identity=generated
??0?$pair@$$CBUGen_t_0081c8d0_k4@@UGen_t_0081c8d0_p12cd@@@_STL@@QAE@ABU01@@Z,0x0081C6B0,122,Code/gen_small/tgrid_122.cpp,reloc-derived;call-sites=1;identity=generated
?_M_insert_overflow@?$vector@URva0081D280Element@@V?$allocator@URva0081D280Element@@@_STL@@@_STL@@IAEXPAURva0081D280Element@@ABU3@ABU__false_type@2@I_N@Z,0x0081D160,286,Code/Libraries/Source/WWVegas/WWLib/RvaVectorPushBack.cpp,reloc-derived;call-sites=1;identity=real
?LZHLCreateDecompressor@@YAPAXXZ,0x00823170,27,Code/Libraries/Source/Compression/LZHCompress/NoxCompress.cpp,reloc-derived;call-sites=1;identity=real
?LZHLDecompress@@YAHPAXPAEPAIPBE2@Z,0x00823190,30,Code/Libraries/Source/Compression/LZHCompress/NoxCompress.cpp,reloc-derived;call-sites=2;identity=real
_BfmeNodeAllocLockAcquire,0x0082C760,267,Code/GameEngine/Source/Common/NodeAllocMutexAcquireLock.cpp,reloc-derived;call-sites=1;identity=real
?_Rebalance@?$_Rb_global@_N@_STL@@SAXPAU_Rb_tree_node_base@2@AAPAU32@@Z,0x0082C9D0,397,Code/GameEngine/Source/Common/UpgradePairTree.cpp,reloc-derived;call-sites=99;identity=real
?U2Put00832830_do@@YA?AUU2PutIter@@ABU1@ABUU2PutFlags@@HPAX2H@Z,0x00832830,260,Code/GameEngine/Source/Common/U2PutForwarders.cpp,reloc-derived;call-sites=2;identity=real
?U2Put00832DB0_do@@YA?AUU2PutIter@@ABU1@ABUU2PutFlags@@HPAX2H@Z,0x00832DB0,260,Code/GameEngine/Source/Common/U2PutForwarders.cpp,reloc-derived;call-sites=1;identity=real
?U2Put00833170_do@@YA?AUU2PutIter@@ABU1@ABUU2PutFlags@@HPAX2H@Z,0x00833170,252,Code/GameEngine/Source/Common/U2PutForwarders.cpp,reloc-derived;call-sites=1;identity=real
?U2Put00833430_do@@YA?AUU2PutIter@@ABU1@ABUU2PutFlags@@HPAX2H@Z,0x00833430,252,Code/GameEngine/Source/Common/U2PutForwarders.cpp,reloc-derived;call-sites=1;identity=real
?U2Put008336F0_do@@YA?AUU2PutIter@@ABU1@ABUU2PutFlags@@HPAX2H@Z,0x008336F0,251,Code/GameEngine/Source/Common/U2PutForwarders.cpp,reloc-derived;call-sites=1;identity=real
?U2Put00833C80_do@@YA?AUU2PutIter@@ABU1@ABUU2PutFlags@@HPAX2H@Z,0x00833C80,260,Code/GameEngine/Source/Common/U2PutForwarders.cpp,reloc-derived;call-sites=2;identity=real
?refresh@Rva00845250Node@@QAEXXZ,0x00833D90,68,Code/GameEngine/Source/Common/U2HandleLeaves.cpp,reloc-derived;call-sites=2;identity=generated
?U2Put00834250_do@@YA?AUU2PutIter@@ABU1@ABUU2PutFlags@@HPAX2H@Z,0x00834250,260,Code/GameEngine/Source/Common/U2PutForwarders.cpp,reloc-derived;call-sites=1;identity=real
?U2Put00834610_do@@YA?AUU2PutIter@@ABU1@ABUU2PutFlags@@HPAX2H@Z,0x00834610,252,Code/GameEngine/Source/Common/U2PutForwarders.cpp,reloc-derived;call-sites=1;identity=real
?U2Put008348D0_do@@YA?AUU2PutIter@@ABU1@ABUU2PutFlags@@HPAX2H@Z,0x008348D0,252,Code/GameEngine/Source/Common/U2PutForwarders.cpp,reloc-derived;call-sites=1;identity=real
?U2Put00834B90_do@@YA?AUU2PutIter@@ABU1@ABUU2PutFlags@@HPAX2H@Z,0x00834B90,251,Code/GameEngine/Source/Common/U2PutForwarders.cpp,reloc-derived;call-sites=1;identity=real
